Mods count: 364
 
jar name                                                                           | mod id (isMCreator)                           | mixin configs
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.3+53347ba977.jar                 | fabric_block_view_api_v2                      | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jarjar/fabric-block-api-v1-1.0.12+0e6cb7f777.jar                     | fabric_block_api_v1                           | 
    /META-INF/jarjar/fabric-biome-api-v1-13.0.14+dc36698e77.jar                    | fabric_biome_api_v1                           | fabric-biome-api-v1.mixins.json
    /META-INF/jarjar/fabric-api-lookup-api-v1-1.6.37+67f9824077.jar                | fabric_api_lookup_api_v1                      | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jarjar/fabric-api-base-0.4.32+ef105b4977.jar                         | fabric_api_base                               | fabric-api-base.init.mixins.json
fakedate-1.0.2+1.20.1-forge.jar                                                    | fakedate                                      | fakedate.mixins.json
FallingTree-1.20.1-4.3.4.jar                                                       | fallingtree                                   | fallingtree.mixins.json
fancymenu_forge_3.8.1_MC_1.20.1.jar                                                | fancymenu                                     | fancymenu.mixins.json, fancymenu.forge.mixins.json
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar            |                                               | 
    /META-INF/jarjar/japng-0.5.3.jar                                               |                                               | 
FarmersDelight-1.20.1-1.2.11.jar                                                   | farmersdelight                                | farmersdelight.mixins.json
FarmersStructures-1.0.4-1.20.jar                                                   | farmers_structures (MCreator mod)             | 
farsight-1.20.1-4.5.jar                                                            | farsight_view                                 | farsight.mixins.json
    /META-INF/jarjar/jctools-core-4.0.5.jar                                        |                                               | 
fast-ip-ping-v1.0.8-mc1.20.4-forge.jar                                             | fastipping                                    | fastipping.mixins.json
fastasyncworldsave-1.20.1-2.6.jar                                                  | fastasyncworldsave                            | fastasyncworldsave.mixins.json
fasterrandom-5.1.0.jar                                                             | faster-random                                 | fasterrandom.mixins.json
FastItemFrames-v20.1.5-1.20.1-Forge.jar                                            | fastitemframes                                | fastitemframes.forge.mixins.json, fastitemframes.common.mixins.json
fastpaintings-1.20-1.2.7.jar                                                       | fastpaintings                                 | fastpaintings-forge.mixins.json, fastpaintings.mixins.json
ferritecore-6.0.1-forge.jar                                                        | ferritecore                                   | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
flib-1.20.1-0.0.15.jar                                                             | flib                                          | 
foolproof-forge-1.0.4-1.20.1.jar                                                   | foolproof                                     | mixins.foolproof.json
    /META-INF/jars/conditional-mixin-forge-0.6.4.jar                               | conditional_mixin                             | 
ForgeConfigScreens-v8.0.2-1.20.1-Forge.jar                                         | forgeconfigscreens                            | 
forgery-3.6.6+1.20.jar                                                             | fabrication                                   | fabrication.mixins.json
formations-1.0.4-forge-mc1.20.2.jar                                                | formations                                    | formations.mixins.refmap.json, formations.mixins.json
formationsnether-1.0.5.jar                                                         | formationsnether                              | formationsnether.mixins.json
formationsoverworld-1.0.5-mc1.20.jar                                               | formationsoverworld                           | formationsoverworld.mixins.json
framework-forge-1.20.1-0.8.0.jar                                                   | framework                                     | 
friendsandfoes-forge-mc1.20.1-3.0.9.jar                                            | friendsandfoes                                | friendsandfoes-common.mixins.json, friendsandfoes-forge.mixins.json
ftb-filter-system-forge-20.0.1.jar                                                 | ftbfiltersystem                               | ftbfiltersystem-common.mixins.json, ftbfiltersystem.mixins.json
ftb-library-forge-2001.2.12.jar                                                    | ftblibrary                                    | ftblibrary-common.mixins.json
ftb-quests-forge-2001.4.18.jar                                                     | ftbquests                                     | 
ftb-teams-forge-2001.3.2.jar                                                       | ftbteams                                      | 
ftb-xmod-compat-forge-2.1.3.jar                                                    | ftbxmodcompat                                 | 
ftbquestsfreezefix-forge-1.0.0-1.20.1.jar                                          | ftbquestsfreezefix                            | mixins.ftbquestsfreezefix.json
fzzy_config-0.7.6+1.20.1+forge.jar                                                 | fzzy_config                                   | 
    /META-INF/jars/jankson-1.2.3.jar                                               |                                               | 
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                            |                                               | 
